cord_uid_a,cord_uid_b,similarity,title_a,title_b
sfarwvit,rh9bx841,-0.052805256,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees
sfarwvit,eej8qb9t,-0.05280523,So machen Vermittler ihren Betrieb zukunftsfest,Acknowledgement to Referees.
2w9zsz4m,92ivie3y,-0.052255362,Aktuelles zur Brustkrebstherapie,Our Responsibility to All of Our Patients and Families
mdd60ic7,cl81y08y,-0.05189319,Acknowledgement to Referees,Auf dem Weg zu einer nachhaltigen Mobilität
cl81y08y,eej8qb9t,-0.05189319,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees.
cl81y08y,se2s9c5j,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees
cl81y08y,0ngl3naa,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees
cl81y08y,2un48l2e,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees
cl81y08y,s4bobqls,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to referees
cl81y08y,dbo18qfk,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees
cl81y08y,rh9bx841,-0.051893186,Auf dem Weg zu einer nachhaltigen Mobilität,Acknowledgement to Referees
tgk61fds,7ljhd62b,-0.05113972,COVID-19 Vaccines in Children and Adolescents,COVID-19 – Eine neue Herausforderung
fx92xnzt,d4l85xzw,-0.05096134,Welche Phytos gegen Husten?,Meetings and Courses
17trii16,d4l85xzw,-0.05051093,Endlich mehr Honorar für COVID-19-lmpfungen,Meetings and Courses
7ljhd62b,zku020ww,-0.050442338,COVID-19 – Eine neue Herausforderung,"Educating heads, hands, and hearts in the COVID-19 Classroom"
mrdg743n,7ljhd62b,-0.050229523,Recruiting Residents During COVID-19,COVID-19 – Eine neue Herausforderung
2w9zsz4m,8ezcu225,-0.05006395,Aktuelles zur Brustkrebstherapie,Enquiring minds.
ptxwnbhf,7ljhd62b,-0.04917345,Investigating people's anxieties and concerns about COVID-19,COVID-19 – Eine neue Herausforderung
lq92mlhs,dp1gpjvf,-0.049077637,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,eMJA: In other journals ‐ 5 May 2003
7ljhd62b,8ezcu225,-0.048729137,COVID-19 – Eine neue Herausforderung,Enquiring minds.
6ho4ox2e,92ivie3y,-0.048312977,Pädiatrie aktuell – Forschung kurz notiert,Our Responsibility to All of Our Patients and Families
fx92xnzt,m1tx74tc,-0.047296513,Welche Phytos gegen Husten?,Guest editorial
7ljhd62b,d4l85xzw,-0.045791663,COVID-19 – Eine neue Herausforderung,Meetings and Courses
mdd60ic7,ffbchp74,-0.045666277,Acknowledgement to Referees,Rechtsprechung kurz berichtet
0ngl3naa,ffbchp74,-0.045666277,Acknowledgement to Referees,Rechtsprechung kurz berichtet
se2s9c5j,ffbchp74,-0.045666277,Acknowledgement to Referees,Rechtsprechung kurz berichtet
eej8qb9t,ffbchp74,-0.045666277,Acknowledgement to Referees.,Rechtsprechung kurz berichtet
2un48l2e,ffbchp74,-0.045666277,Acknowledgement to Referees,Rechtsprechung kurz berichtet
s4bobqls,ffbchp74,-0.045666277,Acknowledgement to referees,Rechtsprechung kurz berichtet
ffbchp74,dbo18qfk,-0.045666277,Rechtsprechung kurz berichtet,Acknowledgement to Referees
ffbchp74,rh9bx841,-0.045666277,Rechtsprechung kurz berichtet,Acknowledgement to Referees
lq92mlhs,y3hpzj0u,-0.045465946,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus,"Acknowledgment of Referees, 2020"
1g0pthfr,kux9vzn8,-0.04507401,Epidemiological and Clinical Predictors of COVID-19,Bauchlage senkt Intubationsrate bei wachen COVID-19-Patienten auf Intensivstation
vz9uzwno,d6su39tw,-0.04421758,Shots of hope.,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion
8ezcu225,fx92xnzt,-0.044141486,Enquiring minds.,Welche Phytos gegen Husten?
w2vxnrwc,0vlkahyu,-0.04397995,From Newsroom to Classroom,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
fx92xnzt,m62f2ju5,-0.043918896,Welche Phytos gegen Husten?,Events of Interest
y1wpc0dk,ffbchp74,-0.04359375,People + Companies,Rechtsprechung kurz berichtet
9bdiz5pz,ffbchp74,-0.04359375,People + Companies,Rechtsprechung kurz berichtet
m5wlk26r,y3hpzj0u,-0.043408245,COVID-19 trifft auf angeborene Herzfehler,"Acknowledgment of Referees, 2020"
8ezcu225,ffbchp74,-0.04295319,Enquiring minds.,Rechtsprechung kurz berichtet
ew3ftumt,m5wlk26r,-0.042814903,Answering Key Questions About COVID-19 Vaccines.,COVID-19 trifft auf angeborene Herzfehler
fouh4jhs,rqb19icj,-0.042706568,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Experiences of family caregivers of patients with COVID-19
d6su39tw,d4l85xzw,-0.042133342,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion,Meetings and Courses
p81l6zvz,mdd60ic7,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
p81l6zvz,se2s9c5j,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
p81l6zvz,0ngl3naa,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
p81l6zvz,eej8qb9t,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees.
p81l6zvz,s4bobqls,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to referees
p81l6zvz,2un48l2e,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
p81l6zvz,dbo18qfk,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
p81l6zvz,rh9bx841,-0.041420784,Systemische Immunsuppression in Zeiten von COVID‐19: Müssen wir umdenken?,Acknowledgement to Referees
8ezcu225,w4k5v3gz,-0.04141597,Enquiring minds.,Nach COVID-19-Infektion treten vermehrt Herzprobleme auf
2w9zsz4m,mrdg743n,-0.041398395,Aktuelles zur Brustkrebstherapie,Recruiting Residents During COVID-19
2w9zsz4m,aw1pbmz4,-0.04102309,Aktuelles zur Brustkrebstherapie,Risk factors analysisi for COVID‑19 in the elderly
7ljhd62b,zsadls45,-0.0401987,COVID-19 – Eine neue Herausforderung,"COVID‐19, children and schools: overlooked and at risk"
nxmauvpu,ffbchp74,-0.040146515,Reasons for HOPE.,Rechtsprechung kurz berichtet
mdd60ic7,bh8jhqyn,-0.039756346,Acknowledgement to Referees,Ein lange bekanntes Syndrom bei einer neuen Krankheit
bh8jhqyn,0ngl3naa,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees
bh8jhqyn,se2s9c5j,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees
bh8jhqyn,eej8qb9t,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees.
bh8jhqyn,2un48l2e,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees
bh8jhqyn,s4bobqls,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to referees
bh8jhqyn,dbo18qfk,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees
bh8jhqyn,rh9bx841,-0.039756346,Ein lange bekanntes Syndrom bei einer neuen Krankheit,Acknowledgement to Referees
30097lan,m5wlk26r,-0.039737124,Hematological Aspects of COVID-19,COVID-19 trifft auf angeborene Herzfehler
ol3sih3x,0vlkahyu,-0.03962693,Kaggle Competitions in the Classroom: Retrospectives and Recommendations,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
7ljhd62b,8d3z6dfw,-0.039094076,COVID-19 – Eine neue Herausforderung,COVID-19: biological factors in men's vulnerability
ffbchp74,m62f2ju5,-0.038846,Rechtsprechung kurz berichtet,Events of Interest
17trii16,y3hpzj0u,-0.038325958,Endlich mehr Honorar für COVID-19-lmpfungen,"Acknowledgment of Referees, 2020"
tmi60ugl,lq92mlhs,-0.038020566,Fears and Hopes,Nachhaltiges Wirtschaften setzt eine nachhaltige Arbeitswelt voraus
mdd60ic7,fouh4jhs,-0.03798107,Acknowledgement to Referees,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren
fouh4jhs,se2s9c5j,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees
fouh4jhs,0ngl3naa,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees
fouh4jhs,eej8qb9t,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees.
fouh4jhs,2un48l2e,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees
fouh4jhs,s4bobqls,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to referees
fouh4jhs,dbo18qfk,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees
fouh4jhs,rh9bx841,-0.03798107,Konjunkturpaket notwendig — Rückkehr zur Schuldenbremse nicht forcieren,Acknowledgement to Referees
k7qibllm,2w9zsz4m,-0.0377854,Are children and schools a COVID-19 threat?,Aktuelles zur Brustkrebstherapie
mdd60ic7,0vlkahyu,-0.03774583,Acknowledgement to Referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
se2s9c5j,0vlkahyu,-0.03774583,Acknowledgement to Referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
0ngl3naa,0vlkahyu,-0.03774583,Acknowledgement to Referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
eej8qb9t,0vlkahyu,-0.03774583,Acknowledgement to Referees.,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
s4bobqls,0vlkahyu,-0.03774583,Acknowledgement to referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
2un48l2e,0vlkahyu,-0.03774583,Acknowledgement to Referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
dbo18qfk,0vlkahyu,-0.03774583,Acknowledgement to Referees,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen
0vlkahyu,rh9bx841,-0.03774583,Wirksamkeit von Pflanzenprodukten gegen Herpesinfektionen,Acknowledgement to Referees
kxdcrchq,fx92xnzt,-0.037505254,"Remdesivir, on the road to DisCoVeRy",Welche Phytos gegen Husten?
iw6ooopp,mdd60ic7,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
iw6ooopp,0ngl3naa,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
iw6ooopp,se2s9c5j,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
iw6ooopp,eej8qb9t,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees.
iw6ooopp,s4bobqls,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to referees
iw6ooopp,2un48l2e,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
iw6ooopp,dbo18qfk,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
iw6ooopp,rh9bx841,-0.03732304,COVID-19-Pandemie: Was wissen wir – was können wir empfehlen?: Ein Kommentar der Herausgeber,Acknowledgement to Referees
w72ielhf,d6su39tw,-0.037297525,Editors’ Note,Erfolgreiche Behandlung eines drittgradigen Pleuraempyems infolge einer COVID-19-Infektion
mdd60ic7,xnmpl4uw,-0.037180915,Acknowledgement to Referees,Hydroxychloroquin‐induzierte akute generalisierte exanthematische Pustulose: eine während der COVID‐19‐Pandemie zu beachtende Nebenwirkung
xnmpl4uw,se2s9c5j,-0.037180915,Hydroxychloroquin‐induzierte akute generalisierte exanthematische Pustulose: eine während der COVID‐19‐Pandemie zu beachtende Nebenwirkung,Acknowledgement to Referees
xnmpl4uw,0ngl3naa,-0.037180915,Hydroxychloroquin‐induzierte akute generalisierte exanthematische Pustulose: eine während der COVID‐19‐Pandemie zu beachtende Nebenwirkung,Acknowledgement to Referees
xnmpl4uw,2un48l2e,-0.037180915,Hydroxychloroquin‐induzierte akute generalisierte exanthematische Pustulose: eine während der COVID‐19‐Pandemie zu beachtende Nebenwirkung,Acknowledgement to Referees
