campaign,point,repetition,worker,thread,slot,per_machine,k,blocksize,split_out,broadcast,seconds,peak_gb,mean_peak_gb,partitions,vocabulary,real_workers,real_threads,error
slot,w6_t1,2,6,1,6,2,64,64MB,8,True,67.9,1.59,1.45,64,161901,6,6,
slot,w1_t6,2,1,6,6,1,64,64MB,8,True,,,,,,1,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-337a10f24701ceb277d7ad5725842def', 0)]"
slot,w2_t1,2,2,1,2,1,64,64MB,8,True,101.8,2.51,1.99,64,161901,2,2,
slot,w1_t2,2,1,2,2,1,64,64MB,8,True,,,,,,1,2,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-d9185799cb9b2dad762a78490e59b249', 0)]"
k_thread4,k64_t4,2,3,4,12,1,64,64MB,8,True,67.4,3.01,2.81,64,161901,3,12,
k_thread4,k128_t4,2,3,4,12,1,128,64MB,8,True,60.1,2.87,2.42,128,161901,3,12,
k_thread4,k32_t4,2,3,4,12,1,32,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-28891d215a2c6aa1688edea59dafdd0c', 0)]"
k_thread4,k256_t4,2,3,4,12,1,256,64MB,8,True,83.8,2.22,1.88,256,161901,3,12,
k_thread4,k16_t4,2,3,4,12,1,16,64MB,8,True,,,,,,3,12,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-90fa66dc54b9ba8a22d7e758eadfb3de', 0)]"
scaling,w3_k64,0,3,1,3,1,64,64MB,8,True,73.8,2.23,1.93,64,161901,3,3,
scaling,w3_k128,0,3,1,3,1,128,64MB,8,True,82.3,2.09,1.57,128,161901,3,3,
scaling,w3_k32,0,3,1,3,1,32,64MB,8,True,70.0,2.66,2.34,32,161901,3,3,
scaling,w3_k256,0,3,1,3,1,256,64MB,8,True,109.4,1.79,1.54,256,161901,3,3,
scaling,w3_k16,0,3,1,3,1,16,64MB,8,True,,,,,,3,3,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-d3725046f9893595fdc6c68e5ed6c5f8', 0)]"
scaling,w3_k8,0,3,1,3,1,8,64MB,8,True,,,,,,3,3,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-8a26ffb3b3f44f70b34024b10066d26c', 0)]"
scaling,w2_k64,0,2,1,2,1,64,64MB,8,True,92.8,2.5,2.3,64,161901,2,2,
scaling,w2_k128,0,2,1,2,1,128,64MB,8,True,109.9,2.47,1.97,128,161901,2,2,
scaling,w2_k32,0,2,1,2,1,32,64MB,8,True,89.0,2.91,2.54,32,161901,2,2,
scaling,w2_k256,0,2,1,2,1,256,64MB,8,True,154.5,2.17,1.97,256,161901,2,2,
scaling,w2_k16,0,2,1,2,1,16,64MB,8,True,,,,,,2,2,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-0ab8651eb9bd6fd3363a51ac7a8e193e', 0)]"
scaling,w2_k8,0,2,1,2,1,8,64MB,8,True,,,,,,2,2,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-c9eed7a8a2dbf2a6d0ee5ead9bed54b8', 0)]"
scaling,w1_k64,0,1,1,1,1,64,64MB,8,True,168.1,2.93,2.93,64,161901,1,1,
scaling,w1_k128,0,1,1,1,1,128,64MB,8,True,236.9,2.65,2.65,128,161901,1,1,
scaling,w1_k32,0,1,1,1,1,32,64MB,8,True,153.7,3.18,3.18,32,161901,1,1,
scaling,w1_k256,0,1,1,1,1,256,64MB,8,True,379.8,2.52,2.52,256,161901,1,1,
scaling,w1_k16,0,1,1,1,1,16,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-0a97cae09e4709bb262412eef2f2f4e6', 0)]"
scaling,w1_k8,0,1,1,1,1,8,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-f26d289649f7b1d2ccc707c5646056e9', 0)]"
scaling,w6_k64,0,6,1,6,2,64,64MB,8,True,49.9,1.48,1.41,64,161901,6,6,
scaling,w6_k128,0,6,1,6,2,128,64MB,8,True,53.1,1.23,1.12,128,161901,6,6,
scaling,w6_k32,0,6,1,6,2,32,64MB,8,True,,,,,,6,6,"KilledWorker: Attempted to run task ('_join_block-46f45fc9bca36460e1a159ba0afa8390', 10) on 4 different workers, but all those workers died while running it. The last worker that attempt to run the ta"
scaling,w6_k256,0,6,1,6,2,256,64MB,8,True,74.9,1.21,1.07,256,161901,6,6,
scaling,w6_k16,0,6,1,6,2,16,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-6cab1d6710ac2274b0fd8b8a9a1b9855', 0)]"
scaling,w6_k8,0,6,1,6,2,8,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-6f8511e498713f8357f384d7df725214', 0)]"
scaling,w3_k64,1,3,1,3,1,64,64MB,8,True,80.4,2.33,1.91,64,161901,3,3,
scaling,w3_k128,1,3,1,3,1,128,64MB,8,True,94.1,1.89,1.6,128,161901,3,3,
scaling,w3_k32,1,3,1,3,1,32,64MB,8,True,78.0,2.35,2.24,32,161901,3,3,
scaling,w3_k256,1,3,1,3,1,256,64MB,8,True,129.1,1.86,1.6,256,161901,3,3,
scaling,w3_k16,1,3,1,3,1,16,64MB,8,True,176.6,2.99,2.89,16,161901,3,3,
scaling,w3_k8,1,3,1,3,1,8,64MB,8,True,,,,,,3,3,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-e1d09f77080c22acc36f94e4d12186f4', 0)]"
scaling,w2_k64,1,2,1,2,1,64,64MB,8,True,103.3,2.71,2.14,64,161901,2,2,
scaling,w2_k128,1,2,1,2,1,128,64MB,8,True,124.1,2.13,1.98,128,161901,2,2,
scaling,w2_k32,1,2,1,2,1,32,64MB,8,True,100.5,2.6,2.35,32,161901,2,2,
scaling,w2_k256,1,2,1,2,1,256,64MB,8,True,174.7,2.16,2.04,256,161901,2,2,
scaling,w2_k16,1,2,1,2,1,16,64MB,8,True,162.1,3.25,3.18,16,161901,2,2,
scaling,w2_k8,1,2,1,2,1,8,64MB,8,True,,,,,,2,2,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-497960c31db7cc3f20ad6f03e8f2fa54', 0)]"
scaling,w1_k64,1,1,1,1,1,64,64MB,8,True,200.3,2.9,2.9,64,161901,1,1,
scaling,w1_k128,1,1,1,1,1,128,64MB,8,True,250.9,2.67,2.67,128,161901,1,1,
scaling,w1_k32,1,1,1,1,1,32,64MB,8,True,161.1,2.92,2.92,32,161901,1,1,
scaling,w1_k256,1,1,1,1,1,256,64MB,8,True,304.2,2.56,2.56,256,161901,1,1,
scaling,w1_k16,1,1,1,1,1,16,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-9c57f1c2bf8788e25ca1ba9afdb35cca', 0)]"
scaling,w1_k8,1,1,1,1,1,8,64MB,8,True,,,,,,1,1,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-14590e80e9123a55a34a6b5de1d52dd6', 0)]"
scaling,w6_k64,1,6,1,6,2,64,64MB,8,True,60.8,1.62,1.45,64,161901,6,6,
scaling,w6_k128,1,6,1,6,2,128,64MB,8,True,49.2,1.31,1.12,128,161901,6,6,
scaling,w6_k32,1,6,1,6,2,32,64MB,8,True,,,,,,6,6,"KilledWorker: Attempted to run task ('_join_block-8dcc25493a4a6ec9d03a407af86bdf4b', 5) on 4 different workers, but all those workers died while running it. The last worker that attempt to run the tas"
scaling,w6_k256,1,6,1,6,2,256,64MB,8,True,67.8,1.1,0.99,256,161901,6,6,
scaling,w6_k16,1,6,1,6,2,16,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-4770d2f1fd81049555ba5145c747d271', 0)]"
scaling,w6_k8,1,6,1,6,2,8,64MB,8,True,,,,,,6,6,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-b51b0d026ff22547505e845b40a81bc9', 0)]"
blocksize,64MB,0,3,1,3,1,64,64MB,8,True,75.8,2.6,1.85,64,161901,3,3,
blocksize,32MB,0,3,1,3,1,64,32MB,8,True,73.8,2.19,1.89,64,161901,3,3,
blocksize,128MB,0,3,1,3,1,64,128MB,8,True,67.6,2.57,1.89,64,161901,3,3,
blocksize,16MB,0,3,1,3,1,64,16MB,8,True,82.9,2.19,1.9,64,161901,3,3,
blocksize,256MB,0,3,1,3,1,64,256MB,8,True,72.4,2.4,1.96,64,161901,3,3,
split_out,8,0,3,1,3,1,64,64MB,8,True,73.8,2.17,1.9,64,161901,3,3,
split_out,16,0,3,1,3,1,64,64MB,16,True,73.8,1.86,1.63,64,161901,3,3,
split_out,4,0,3,1,3,1,64,64MB,4,True,71.2,2.32,1.9,64,161901,3,3,
split_out,1,0,3,1,3,1,64,64MB,1,True,,,,,,3,3,"KilledWorker: Attempted to run task ('sum-tree-07ce0e16db4efa7173d64e217ca41743', 0) on 4 different workers, but all those workers died while running it. The last worker that attempt to run the task w"
broadcast,shuffle,0,3,1,3,1,64,64MB,8,False,,,,,,3,3,"KilledWorker: Attempted to run task ('repartitiontofewer-c7600806ca94d6d86449692d1c9be864', 2) on 4 different workers, but all those workers died while running it. The last worker that attempt to run "
blocksize,64MB,1,3,1,3,1,64,64MB,8,True,73.3,2.46,1.93,64,161901,3,3,
blocksize,32MB,1,3,1,3,1,64,32MB,8,True,76.4,2.12,1.9,64,161901,3,3,
blocksize,128MB,1,3,1,3,1,64,128MB,8,True,68.0,2.23,1.96,64,161901,3,3,
blocksize,16MB,1,3,1,3,1,64,16MB,8,True,81.4,2.32,1.9,64,161901,3,3,
blocksize,256MB,1,3,1,3,1,64,256MB,8,True,70.8,2.22,2.0,64,161901,3,3,
split_out,8,1,3,1,3,1,64,64MB,8,True,72.4,2.3,1.89,64,161901,3,3,
split_out,16,1,3,1,3,1,64,64MB,16,True,73.0,1.78,1.53,64,161901,3,3,
split_out,4,1,3,1,3,1,64,64MB,4,True,75.7,2.29,1.91,64,161901,3,3,
split_out,1,1,3,1,3,1,64,64MB,1,True,,,,,,3,3,"FuturesCancelledError: 1 Future cancelled:
Reasons:
1 Future cancelled for reason: already forgotten.
Message: None
Future: [('toparquetbarrier-5c8765ae508ee41070b0b8abc7f126f1', 0)]"
broadcast,shuffle,1,3,1,3,1,64,64MB,8,False,,,,,,3,3,"KilledWorker: Attempted to run task ('repartitiontofewer-855f8575e2e2fe73eaae8db754dddf5c', 7) on 4 different workers, but all those workers died while running it. The last worker that attempt to run "
blocksize,64MB,2,3,1,3,1,64,64MB,8,True,70.7,2.45,1.83,64,161901,3,3,
blocksize,32MB,2,3,1,3,1,64,32MB,8,True,75.0,2.55,1.9,64,161901,3,3,
blocksize,128MB,2,3,1,3,1,64,128MB,8,True,69.0,2.25,1.95,64,161901,3,3,
blocksize,16MB,2,3,1,3,1,64,16MB,8,True,85.7,2.46,1.82,64,161901,3,3,
blocksize,256MB,2,3,1,3,1,64,256MB,8,True,71.6,2.19,2.0,64,161901,3,3,
split_out,8,2,3,1,3,1,64,64MB,8,True,71.2,2.41,1.95,64,161901,3,3,
split_out,16,2,3,1,3,1,64,64MB,16,True,75.6,1.98,1.7,64,161901,3,3,
split_out,4,2,3,1,3,1,64,64MB,4,True,73.1,2.6,1.88,64,161901,3,3,
split_out,1,2,3,1,3,1,64,64MB,1,True,,,,,,3,3,"KilledWorker: Attempted to run task ('sum-tree-0a7bbe12f6b790e762875ca1fe67d23c', 0) on 4 different workers, but all those workers died while running it. The last worker that attempt to run the task w"
broadcast,shuffle,2,3,1,3,1,64,64MB,8,False,,,,,,3,3,"KilledWorker: Attempted to run task ('repartitiontofewer-63fdde1b4f7c1d5683de4b0ee93f2626', 7) on 4 different workers, but all those workers died while running it. The last worker that attempt to run "
